Team,GF(Individual),GA(Individual),GF(Cumulative),GA(Cumulative),GD,Points(6),Form
Frankfurt,  -1, -1,0,0,0,0, 0
Nuremberg,  -1, -1,0,0,0,0, 0
Bayern Munich,  -1, -1,0,0,0,0, 0
Augsburg,  -1, -1,0,0,0,0, 0
B Mgladbach,  -1, -1,0,0,0,0, 0
Schalke,  -1, -1,0,0,0,0, 0
Stuttgart,  -1, -1,0,0,0,0, 0
Mainz,  -1, -1,0,0,0,0, 0
B Leverkusen,  -1, -1,0,0,0,0, 0
Düsseldorf,  -1, -1,0,0,0,0, 0
Hoffenheim,  -1, -1,0,0,0,0, 0
Freiburg,  -1, -1,0,0,0,0, 0
Hertha Berlin,  -1, -1,0,0,0,0, 0
RB Leipzig,  -1, -1,0,0,0,0, 0
Werder Bremen,  -1, -1,0,0,0,0, 0
Wolfsburg,  -1, -1,0,0,0,0, 0
Hannover,  -1, -1,0,0,0,0, 0
B Dortmund,  -1, -1,0,0,0,0, 0
