Team,GF(Individual),GA(Individual),GF(Cumulative),GA(Cumulative),GD,Points(6),Form
Marseille,4,0,4,0,4,3,W
PSG,3,0,3,0,3,3,W
Lille,3,1,3,1,2,3,W
Monaco,3,1,3,1,2,3,W
Lyon,2,0,2,0,2,3,W
Strasbourg,2,0,2,0,2,3,W
Nîmes,4,3,4,3,1,3,W
Dijon,2,1,2,1,1,3,W
Saint-Étienne,2,1,2,1,1,3,W
Reims,1,0,1,0,1,3,W
Angers,3,4,3,4,-1,0,L
Guingamp,1,2,1,2,-1,0,L
Montpellier,1,2,1,2,-1,0,L
Nice,0,1,0,1,-1,0,L
Rennes,1,3,1,3,-2,0,L
Nantes,1,3,1,3,-2,0,L
Bordeaux,0,2,0,2,-2,0,L
Amiens,0,2,0,2,-2,0,L
Caen,0,3,0,3,-3,0,L
Toulouse,0,4,0,4,-4,0,L
