Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Marseille,1,1,0,0,4,0,4,3
PSG,1,1,0,0,3,0,3,3
Lille,1,1,0,0,3,1,2,3
Monaco,1,1,0,0,3,1,2,3
Lyon,1,1,0,0,2,0,2,3
Strasbourg,1,1,0,0,2,0,2,3
Nîmes,1,1,0,0,4,3,1,3
Dijon,1,1,0,0,2,1,1,3
Saint-Étienne,1,1,0,0,2,1,1,3
Reims,1,1,0,0,1,0,1,3
Angers,1,0,0,1,3,4,-1,0
Guingamp,1,0,0,1,1,2,-1,0
Montpellier,1,0,0,1,1,2,-1,0
Nice,1,0,0,1,0,1,-1,0
Rennes,1,0,0,1,1,3,-2,0
Nantes,1,0,0,1,1,3,-2,0
Bordeaux,1,0,0,1,0,2,-2,0
Amiens,1,0,0,1,0,2,-2,0
Caen,1,0,0,1,0,3,-3,0
Toulouse,1,0,0,1,0,4,-4,0
