Team,GF(Individual),GA(Individual),GF(Cumulative),GA(Cumulative),GD,Points(6),Form
Sevilla,4,1,4,1,3,3,W
Barcelona,3,0,3,0,3,3,W
Levante,3,0,3,0,3,3,W
Real Madrid,2,0,2,0,2,3,W
Huesca,2,1,2,1,1,3,W
Real Sociedad,2,1,2,1,1,3,W
Celta Vigo,1,1,1,1,0,1,D
Espanyol,1,1,1,1,0,1,D
Girona,0,0,0,0,0,1,D
Real Valladolid,0,0,0,0,0,1,D
Valencia, -1, -1,0,0,0,0, 0
Atl Madrid, -1, -1,0,0,0,0, 0
Leganés, -1, -1,0,0,0,0, 0
Ath Bilbao, -1, -1,0,0,0,0, 0
Villarreal,1,2,1,2,-1,0,L
Eibar,1,2,1,2,-1,0,L
Getafe,0,2,0,2,-2,0,L
Rayo Vallecano,1,4,1,4,-3,0,L
Alavés,0,3,0,3,-3,0,L
Real Betis,0,3,0,3,-3,0,L
