Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Sevilla,1,1,0,0,4,1,3,3
Barcelona,1,1,0,0,3,0,3,3
Levante,1,1,0,0,3,0,3,3
Real Madrid,1,1,0,0,2,0,2,3
Huesca,1,1,0,0,2,1,1,3
Real Sociedad,1,1,0,0,2,1,1,3
Celta Vigo,1,0,1,0,1,1,0,1
Espanyol,1,0,1,0,1,1,0,1
Girona,1,0,1,0,0,0,0,1
Real Valladolid,1,0,1,0,0,0,0,1
Valencia,0,0,0,0,0,0,0,0
Atl Madrid,0,0,0,0,0,0,0,0
Leganés,0,0,0,0,0,0,0,0
Ath Bilbao,0,0,0,0,0,0,0,0
Villarreal,1,0,0,1,1,2,-1,0
Eibar,1,0,0,1,1,2,-1,0
Getafe,1,0,0,1,0,2,-2,0
Rayo Vallecano,1,0,0,1,1,4,-3,0
Alavés,1,0,0,1,0,3,-3,0
Real Betis,1,0,0,1,0,3,-3,0
