Team,GF(Individual),GA(Individual),GF(Cumulative),GA(Cumulative),GD,Points(6),Form
Man City,26,01,8,1,7,6,WW
Chelsea,33,02,6,2,4,6,WW
Watford,23,01,5,1,4,6,WW
Tottenham,23,11,5,2,3,6,WW
Bournemouth,22,01,4,1,3,6,WW
Everton,22,21,4,3,1,4,DW
Liverpool,4,0,4,0,4,3,W
Crystal Palace,2,0,2,0,2,3,W
Leicester,12,20,3,2,1,3,LW
Man Utd,22,13,4,4,0,3,WL
Brighton,03,22,3,4,-1,3,LW
Newcastle,10,20,1,2,-1,1,LD
Southampton,01,02,1,2,-1,1,DL
Wolves,20,22,2,4,-2,1,DL
Burnley,01,03,1,3,-2,1,DL
Cardiff,00,20,0,2,-2,1,LD
Arsenal,02,23,2,5,-3,0,LL
Fulham,01,23,1,5,-4,0,LL
West Ham,01,42,1,6,-5,0,LL
Huddersfield,01,36,1,9,-8,0,LL
