Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Man City,2,2,0,0,8,1,7,6
Chelsea,2,2,0,0,6,2,4,6
Watford,2,2,0,0,5,1,4,6
Tottenham,2,2,0,0,5,2,3,6
Bournemouth,2,2,0,0,4,1,3,6
Everton,2,1,1,0,4,3,1,4
Liverpool,1,1,0,0,4,0,4,3
Crystal Palace,1,1,0,0,2,0,2,3
Leicester,2,1,0,1,3,2,1,3
Man Utd,2,1,0,1,4,4,0,3
Brighton,2,1,0,1,3,4,-1,3
Newcastle,2,0,1,1,1,2,-1,1
Southampton,2,0,1,1,1,2,-1,1
Wolves,2,0,1,1,2,4,-2,1
Burnley,2,0,1,1,1,3,-2,1
Cardiff,2,0,1,1,0,2,-2,1
Arsenal,2,0,0,2,2,5,-3,0
Fulham,2,0,0,2,1,5,-4,0
West Ham,2,0,0,2,1,6,-5,0
Huddersfield,2,0,0,2,1,9,-8,0
