Team,GF(Individual),GA(Individual),GF(Cumulative),GA(Cumulative),GD,Points(6),Form
Empoli,2,0,2,0,2,3,W
Juventus,3,2,3,2,1,3,W
Napoli,2,1,2,1,1,3,W
Roma,1,0,1,0,1,3,W
Sassuolo,1,0,1,0,1,3,W
SPAL,1,0,1,0,1,3,W
Parma,2,2,2,2,0,1,D
Udinese,2,2,2,2,0,1,D
Sampdoria, -1, -1,0,0,0,0, 0
Atalanta, -1, -1,0,0,0,0, 0
AC Milan, -1, -1,0,0,0,0, 0
Fiorentina, -1, -1,0,0,0,0, 0
Frosinone, -1, -1,0,0,0,0, 0
Genoa, -1, -1,0,0,0,0, 0
Chievo,2,3,2,3,-1,0,L
Lazio,1,2,1,2,-1,0,L
Bologna,0,1,0,1,-1,0,L
Inter Milan,0,1,0,1,-1,0,L
Torino,0,1,0,1,-1,0,L
Cagliari,0,2,0,2,-2,0,L
