Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
Empoli,1,1,0,0,2,0,2,3
Juventus,1,1,0,0,3,2,1,3
Napoli,1,1,0,0,2,1,1,3
Roma,1,1,0,0,1,0,1,3
Sassuolo,1,1,0,0,1,0,1,3
SPAL,1,1,0,0,1,0,1,3
Parma,1,0,1,0,2,2,0,1
Udinese,1,0,1,0,2,2,0,1
Sampdoria,0,0,0,0,0,0,0,0
Atalanta,0,0,0,0,0,0,0,0
AC Milan,0,0,0,0,0,0,0,0
Fiorentina,0,0,0,0,0,0,0,0
Frosinone,0,0,0,0,0,0,0,0
Genoa,0,0,0,0,0,0,0,0
Chievo,1,0,0,1,2,3,-1,0
Lazio,1,0,0,1,1,2,-1,0
Bologna,1,0,0,1,0,1,-1,0
Inter Milan,1,0,0,1,0,1,-1,0
Torino,1,0,0,1,0,1,-1,0
Cagliari,1,0,0,1,0,2,-2,0
